id,subject,chapter,topic,question,optionA,optionB,optionC,optionD,answer,explanation
phy_mech_001,Physics,Mechanics,Newton's Laws,A force of 10 N acts on a 2 kg body. What is the acceleration?,2 m/s²,4 m/s²,5 m/s²,10 m/s²,B,a=F/m=10/2=5 m/s² Common trap: A or B (choosing smaller accelerations by dividing wrong).
phy_mech_002,Physics,Mechanics,Newton's Laws,"If the net force on a body is zero, the body will?",Stop immediately,Remain at rest or move uniformly,Accelerate,Move in circles,B,"Newton's 1st law → inertia Common trap: A (students think zero force means object stops, but it continues uniformly)."
phy_mech_003,Physics,Mechanics,Projectile Motion,Maximum range of a projectile occurs at angle?,30°,45°,60°,90°,B,Range is maximum at 45° Common trap: C (60° often picked due to misunderstanding complementary angles).
phy_mech_004,Physics,Mechanics,Work & Energy,Work done against gravity in raising 5 kg mass to 2 m?,50 J,75 J,100 J,120 J,C,W=mgh=5×10×2=100 J Common trap: B (75 J seems close if g or height are misapplied).
phy_mech_005,Physics,Mechanics,Gravitation,Value of g at Earth’s surface is maximum at?,Poles,Equator,Mountains,Sea level,A,"Earth’s shape & rotation → g max at poles Common trap: B (some assume equator has higher g, but rotation lowers it)."
phy_mech_006,Physics,Mechanics,Circular Motion,Centripetal force on 1 kg body moving at 2 m/s in 1 m radius?,1 N,2 N,3 N,4 N,D,F=mv²/r=1×4/1=4 N Common trap: picking a value close to the correct one without applying the formula.
phy_mech_007,Physics,Mechanics,Impulse,A 0.5 kg ball changes velocity from 2 m/s to 6 m/s. Impulse?,1 Ns,2 Ns,3 Ns,4 Ns,C,Impulse=Δp=0.5×(6–2)=2 Ns Common trap: picking a value close to the correct one without applying the formula.
phy_mech_008,Physics,Mechanics,Power,Power of a pump lifting 200 kg water to 10 m in 20 s?,500 W,800 W,1000 W,1200 W,C,"Work=2000 J, P=W/t=20000/20=1000 W Common trap: picking a value close to the correct one without applying the formula."
phy_mech_009,Physics,Mechanics,Momentum,"If momentum is doubled, kinetic energy becomes?",Doubled,Halved,Quadrupled,Same,C,KE∝p² Common trap: picking a value close to the correct one without applying the formula.
phy_mech_010,Physics,Mechanics,Projectile Motion,Time of flight for projectile at 30° with u=20 m/s?,1 s,2 s,3 s,4 s,C,T=2u sinθ/g ≈ 2×20×0.5/10=2 s Common trap: picking a value close to the correct one without applying the formula.
