Disease,Language,Pathogenesis,References,Source,LastUpdated
Polycythemia Vera,en,"1. JAK2 mutation → 2. Clonal myeloproliferation of RBCs → 3. Hyperviscosity, thrombosis risk.","WHO Hematology; Robbins",Manual,2025-08-27
Tuberculosis,en,"1. Inhalation of droplet nuclei containing Mycobacterium tuberculosis → 2. Alveolar macrophages phagocytose bacilli but fail to kill them → 3. T-cell mediated immune response (Th1, IFN-γ) → 4. Granuloma and caseous necrosis → 5. Latency or reactivation depending on host immunity.","Harrison's Principles of Internal Medicine; WHO",Manual,2025-08-27
Rheumatic Fever,en,"1. Group A streptococcal pharyngitis → 2. Antibodies against M protein cross-react with cardiac tissue (molecular mimicry) → 3. Inflammation of all heart layers (pancarditis) → 4. Aschoff bodies and valve scarring → 5. Chronic rheumatic heart disease.","CDC; UpToDate",Manual,2025-08-27
Nephrotic Syndrome,en,"1. Podocyte or glomerular basement membrane injury → 2. Loss of filtration barrier selectivity → 3. Massive proteinuria (>3.5 g/day) → 4. Hypoalbuminemia → 5. Edema and ascites → 6. Compensatory hyperlipidemia → 7. Risk of thrombosis and infections.","Robbins Pathology",Manual,2025-08-27
Acute Pancreatitis,en,"1. Gallstones or alcohol trigger premature trypsin activation → 2. Autodigestion of pancreatic tissue → 3. Inflammation and fat necrosis → 4. Cytokine storm and systemic inflammatory response → 5. Local necrosis or pseudocyst formation → 6. Complications: ARDS, shock, AKI.","Sabiston Surgery; WHO",Manual,2025-08-27
Dengue,en,"1. Aedes mosquito transmits flavivirus → 2. Viral replication in monocytes and dendritic cells → 3. Cytokine release and endothelial dysfunction → 4. Plasma leakage and hemoconcentration → 5. Thrombocytopenia and bleeding → 6. Severe dengue with shock/organ failure in some cases.","WHO Dengue Guidelines",Manual,2025-08-27
Pneumonia,en,"1. Inhalation or aspiration of pathogen → 2. Alveolar infection and neutrophil infiltration → 3. Consolidation and impaired gas exchange → 4. Systemic inflammatory response (fever, leukocytosis) → 5. Resolution or complications (abscess, pleural effusion).","Harrison's; CDC",Manual,2025-08-27
Asthma,en,"1. Allergen exposure activates Th2 response → 2. IgE production and mast cell degranulation → 3. Bronchial hyperreactivity → 4. Airway edema, mucus plugging, smooth muscle spasm → 5. Reversible airflow obstruction.","GINA Guidelines",Manual,2025-08-27
COPD,en,"1. Chronic exposure to smoke/irritants → 2. Airway inflammation and protease-antiprotease imbalance → 3. Alveolar wall destruction (emphysema) → 4. Small airway fibrosis (bronchitis) → 5. Irreversible airflow obstruction.","GOLD Guidelines",Manual,2025-08-27
Myocardial Infarction,en,"1. Rupture of atherosclerotic plaque → 2. Thrombus formation occludes coronary artery → 3. Ischemia and necrosis of myocardium → 4. Release of cardiac enzymes (troponin, CK-MB) → 5. Ventricular remodeling and complications (arrhythmia, CHF).","AHA/ACC Guidelines",Manual,2025-08-27
Stroke,en,"1. Thrombus/embolus (ischemic) or vessel rupture (hemorrhagic) → 2. Interruption of cerebral blood flow → 3. Ischemic core with penumbra → 4. Neuronal death via excitotoxicity and oxidative stress → 5. Neurological deficits depending on region affected.","AHA Stroke Guidelines",Manual,2025-08-27
Hypertension,en,"1. Genetic and environmental factors increase peripheral resistance → 2. Endothelial dysfunction and vascular remodeling → 3. Chronic pressure load on heart and vessels → 4. End-organ damage (heart, kidneys, brain, eyes).","JNC Guidelines",Manual,2025-08-27
Diabetes Mellitus Type 2,en,"1. Insulin resistance in muscle and adipose tissue → 2. Pancreatic beta-cell compensation with hyperinsulinemia → 3. Beta-cell failure over time → 4. Chronic hyperglycemia → 5. Microvascular and macrovascular complications.","ADA Guidelines",Manual,2025-08-27
Alzheimer's Disease,en,"1. Abnormal accumulation of beta-amyloid plaques → 2. Tau protein hyperphosphorylation and neurofibrillary tangles → 3. Synaptic dysfunction and neuronal loss → 4. Cortical atrophy → 5. Progressive cognitive decline.","NIA-Alzheimer's Assoc.",Manual,2025-08-27
Parkinson's Disease,en,"1. Degeneration of dopaminergic neurons in substantia nigra → 2. Dopamine deficiency in basal ganglia → 3. Motor symptoms: bradykinesia, rigidity, tremor → 4. Lewy body accumulation.","WHO Neurology Texts",Manual,2025-08-27
Epilepsy,en,"1. Neuronal hyperexcitability due to ion channel dysfunction → 2. Abnormal synchronous firing → 3. Seizure episodes (generalized or focal).","WHO; Epilepsy Foundation",Manual,2025-08-27
Peptic Ulcer,en,"1. H. pylori infection or NSAID use damages mucosal barrier → 2. Gastric acid and pepsin cause ulceration → 3. Inflammatory response → 4. Risk of bleeding or perforation.","WHO; UpToDate",Manual,2025-08-27
Hepatitis B,en,"1. HBV enters hepatocytes → 2. Viral replication → 3. Host immune response damages liver cells → 4. Chronic infection in some → 5. Risk of cirrhosis and hepatocellular carcinoma.","WHO Hepatitis Guidelines",Manual,2025-08-27
HIV/AIDS,en,"1. HIV infects CD4+ T cells via gp120 binding → 2. Viral replication and CD4+ destruction → 3. Immunodeficiency → 4. Opportunistic infections and cancers.","WHO HIV Guidelines",Manual,2025-08-27
Malaria,en,"1. Plasmodium sporozoites enter bloodstream via mosquito → 2. Infect hepatocytes → 3. Release merozoites infect RBCs → 4. Cyclic RBC lysis causes fever → 5. Severe forms cause cerebral malaria, anemia, organ failure.","WHO Malaria Guidelines",Manual,2025-08-27
Leukemia,en,"1. Genetic mutations in hematopoietic stem cells → 2. Uncontrolled proliferation of immature leukocytes → 3. Bone marrow failure → 4. Anemia, infections, bleeding tendency.","WHO Hematology",Manual,2025-08-27
COVID-19,en,"1. SARS-CoV-2 virus enters respiratory epithelium via ACE2 receptors → 2. Viral replication triggers innate immune response → 3. Dysregulated immune response causes cytokine storm in severe cases → 4. Diffuse alveolar damage (ARDS) with endothelial injury and microthrombosis → 5. Multi-organ involvement in critical illness.","WHO; CDC",Manual,2025-08-27
Influenza,en,"1. Inhalation of influenza virus droplets → 2. Hemagglutinin binds sialic acid on respiratory epithelial cells, virus enters and replicates → 3. Infected cells die, triggering acute inflammation and interferon release → 4. Systemic symptoms (fever, myalgias) from cytokines → 5. Damaged mucosa predisposes to bacterial superinfection.","CDC; Harrison's",Manual,2025-08-27
Cholera,en,"1. Ingestion of Vibrio cholerae-contaminated water/food → 2. Bacteria colonize small intestine and secrete cholera toxin → 3. Cholera toxin permanently activates adenylate cyclase (↑cAMP) in enterocytes → 4. cAMP-mediated chloride and water efflux causes profuse watery diarrhea → 5. Dehydration and electrolyte imbalances (rice-water stools).","StatPearls; CDC",Manual,2025-08-27
Typhoid Fever,en,"1. Ingestion of Salmonella Typhi via fecal-oral route → 2. Bacteria invade intestinal Peyer's patches and are engulfed by macrophages → 3. Intracellular survival in macrophages (reticuloendothelial system) with bacteremia → 4. Secondary bacteremia causes sustained fever and systemic illness → 5. Colonization of gallbladder and reinfection of intestines leads to ulcers and risk of perforation.","WHO; StatPearls",Manual,2025-08-27
Syphilis,en,"1. Treponema pallidum enters via mucous membranes or skin (usually sexual contact) → 2. Primary syphilis: local replication causes a chancre at infection site → 3. Spirochetes disseminate via bloodstream → 4. Secondary syphilis: systemic immune reaction causes rash and lesions → 5. Latent phase followed by tertiary syphilis (years later) with gummas, cardiovascular (aortitis), and neurosyphilis due to chronic inflammation.","CDC; Harrison's",Manual,2025-08-27
Sepsis,en,"1. Severe infection introduces microbial components (endotoxin, PAMPs) into bloodstream → 2. Excessive immune activation (macrophages, neutrophils) releases cytokines (TNF, IL-1) → 3. Systemic inflammation causes widespread vasodilation and capillary leak (septic shock) → 4. Coagulation cascade activation leads to microthrombosis (DIC) → 5. Multi-organ dysfunction from hypoperfusion and inflammation.","SSC Guidelines; Harrison's",Manual,2025-08-27
Heart Failure (CHF),en,"1. Myocardial injury or chronic pressure overload (e.g. MI, hypertension) reduces cardiac output → 2. Neurohormonal activation (RAAS, sympathetic) to compensate → 3. Chronic angiotensin II and catecholamines cause vasoconstriction and fluid retention → 4. Ventricular remodeling (hypertrophy/dilation) → 5. Progressive pump failure with pulmonary edema and organ hypoperfusion.","Harrison's; ACC/AHA Guidelines",Manual,2025-08-27
Atherosclerosis,en,"1. Endothelial injury (from hypertension, hyperlipidemia, smoking) → 2. LDL cholesterol infiltrates intima and oxidizes → 3. Monocytes become macrophages and ingest oxidized LDL, forming foam cells (fatty streak) → 4. Smooth muscle migration and collagen deposition create a fibrous plaque → 5. Plaque narrows arteries; rupture can cause thrombosis (leading to MI or stroke).","Robbins Pathology; AHA",Manual,2025-08-27
Lung Cancer,en,"1. Chronic exposure to carcinogens (e.g. cigarette smoke) causes DNA damage in bronchial cells → 2. Mutations accumulate in tumor suppressor genes and oncogenes (e.g. p53, KRAS) → 3. Dysregulated cell growth leads to formation of a malignant tumor → 4. Tumor invades local tissue and can metastasize via blood/lymph → 5. Disruption of lung function and systemic effects (e.g. paraneoplastic syndromes).","Robbins Pathology; WHO",Manual,2025-08-27
Idiopathic Pulmonary Fibrosis,en,"1. Repeated unknown alveolar epithelial injuries → 2. Aberrant healing response with fibroblast activation → 3. Excess collagen deposition in interstitial lung tissue → 4. Progressive interstitial fibrosis and honeycombing → 5. Restrictive lung disease with gradual respiratory failure.","ATS Guidelines; UpToDate",Manual,2025-08-27
Acute Glomerulonephritis,en,"1. Immune complex deposition or autoantibodies target glomerular structures (e.g. post-streptococcal immune complexes) → 2. Complement activation and recruitment of leukocytes → 3. Glomerular inflammation and basement membrane damage → 4. Reduced GFR, hematuria, and mild proteinuria (nephritic syndrome) → 5. Potential progression to renal failure if severe or chronic.","Robbins Pathology; UpToDate",Manual,2025-08-27
Chronic Kidney Disease,en,"1. Chronic nephron loss from disease (diabetes, hypertension, glomerulonephritis) → 2. Surviving nephrons undergo hyperfiltration → 3. Hyperfiltration causes glomerular hypertension and sclerosis → 4. Progressive interstitial fibrosis and tubular atrophy → 5. Gradual decline in GFR leading to end-stage renal disease.","KDIGO; Harrison's",Manual,2025-08-27
Crohn's Disease,en,"1. Genetic predisposition (e.g. NOD2 mutation) combined with environmental trigger → 2. Dysregulated immune response (Th1/Th17) to gut microbiota → 3. Transmural inflammation with granuloma formation → 4. Patchy ulcerations (skip lesions) anywhere in GI tract → 5. Complications: fistulas, strictures, malabsorption.","Harrison's; UpToDate",Manual,2025-08-27
Ulcerative Colitis,en,"1. Genetic susceptibility and environmental factors lead to immune dysregulation → 2. Abnormal mucosal immune response (Th2, NK cells) in colon → 3. Continuous colonic mucosal inflammation starting in rectum → 4. Shallow ulcers and pseudopolyps in colon → 5. Risk of toxic megacolon and increased colon cancer risk over time.","Harrison's; UpToDate",Manual,2025-08-27
Cirrhosis,en,"1. Chronic liver injury (e.g. chronic hepatitis, alcoholism, NASH) → 2. Activation of hepatic stellate cells → 3. Excess deposition of collagen (fibrosis) in liver parenchyma → 4. Formation of regenerative nodules surrounded by fibrous bands (cirrhosis) → 5. Portal hypertension and liver failure complications.","Harrison's; WHO",Manual,2025-08-27
Appendicitis,en,"1. Luminal obstruction of appendix (fecalith or lymphoid hyperplasia) → 2. Increased intraluminal pressure and bacterial overgrowth → 3. Appendiceal wall ischemia and inflammation → 4. Acute suppurative inflammation (neutrophils) causing abdominal pain → 5. Risk of perforation and peritonitis if not surgically removed.","Sabiston Surgery; UpToDate",Manual,2025-08-27
Diabetes Mellitus Type 1,en,"1. Genetic predisposition (HLA-DR3/DR4) and environmental trigger (e.g. viral infection) → 2. Autoimmune destruction of pancreatic β-cells by T lymphocytes → 3. Progressive loss of insulin production → 4. Onset of hyperglycemia and ketosis when ~80-90% of β-cells destroyed → 5. Requires exogenous insulin to prevent diabetic ketoacidosis.","ADA; Harrison's",Manual,2025-08-27
Graves' Disease,en,"1. Autoimmune B cells produce TSH receptor-stimulating antibodies (IgG) → 2. Antibodies bind TSH receptors on thyroid gland → 3. Excess thyroid hormone synthesis and release (hyperthyroidism) → 4. Clinical hyperthyroid features (thyrotoxicosis, goiter, exophthalmos) → 5. Thyroid gland hyperplasia (diffuse toxic goiter).","Harrison's; ATA Guidelines",Manual,2025-08-27
Hashimoto's Thyroiditis,en,"1. Autoimmune reaction against thyroid antigens (TPO, thyroglobulin) → 2. Lymphocytic infiltration of thyroid gland → 3. Gradual destruction of thyroid follicles → 4. Decline in thyroid hormone levels (hypothyroidism) → 5. Goiter initially (due to inflammation) followed by thyroid atrophy.","Harrison's; ATA Guidelines",Manual,2025-08-27
Systemic Lupus Erythematosus,en,"1. Genetic susceptibility (HLA variants) and triggers (UV light, infections) → 2. Loss of self-tolerance leads to autoantibody production (ANA, anti-dsDNA) → 3. Immune complexes deposit in tissues → 4. Complement activation and inflammation damage organs (kidneys, skin, joints) → 5. Relapsing-remitting course with flares of multisystem involvement.","Harrison's; NIH",Manual,2025-08-27
Rheumatoid Arthritis,en,"1. Genetic predisposition (HLA-DR4) plus environmental trigger (e.g. smoking) → 2. Autoimmune reaction in synovium (rheumatoid factor, anti-CCP antibodies) → 3. Chronic synovial inflammation and pannus formation → 4. Erosion of cartilage and bone in joints → 5. Joint deformities and systemic effects (nodules, vasculitis) in long-standing disease.","Harrison's; ACR Guidelines",Manual,2025-08-27
Multiple Sclerosis,en,"1. Immune-mediated attack on CNS myelin (likely autoimmune triggered by infection like EBV in genetically susceptible individuals) → 2. Infiltration of T cells and macrophages in CNS → 3. Demyelination and plaque formation in white matter → 4. Slowed nerve conduction causes neurological deficits → 5. Course is relapsing-remitting or progressive, leading to accumulating disability.","Harrison's; NIH",Manual,2025-08-27
Amyotrophic Lateral Sclerosis,en,"1. Mostly sporadic (some familial with SOD1 or other gene mutations) → 2. Progressive degeneration of upper and lower motor neurons in brain and spinal cord → 3. Denervation of skeletal muscles → 4. Muscle weakness and atrophy spreading throughout body → 5. Paralysis and respiratory failure typically within 3-5 years of onset.","Harrison's; NINDS",Manual,2025-08-27
Sickle Cell Disease,en,"1. Point mutation in β-globin gene (glu6val) produces abnormal hemoglobin S → 2. In low oxygen, HbS polymerizes causing RBCs to sickle → 3. Sickled cells hemolyze leading to chronic hemolytic anemia → 4. Intermittent vaso-occlusion causes ischemic pain crises and organ damage → 5. Repeated crises lead to complications (stroke, avascular necrosis, splenic infarction).","CDC; Robbins Pathology",Manual,2025-08-27
Lymphoma,en,"1. Genetic mutations (translocations) in lymphocytes (B or T cells) → 2. Clonal proliferation of malignant lymphocytes in lymph nodes or lymphoid tissue → 3. Lymph node enlargement and tissue infiltration → 4. Disruption of normal immune function → 5. Potential spread to bone marrow and other organs (advanced stages).","WHO Hematology; Harrison's",Manual,2025-08-27
Bacterial Meningitis (pneumococcal/meningococcal),en,"1. Nasopharyngeal colonization → 2. Hematogenous spread across blood–brain barrier → 3. Purulent leptomeningeal inflammation → 4. ↑ICP, cerebral edema, vasculitis → 5. Neuronal injury and complications (hearing loss, seizures).","IDSA Guidelines; Harrison's",Guideline,2025-08-27
Viral Meningitis (enteroviral),en,"1. Fecal–oral/respiratory transmission → 2. Viremia with CNS invasion → 3. Lymphocytic meningitis without parenchymal necrosis → 4. Self-limited inflammatory response.","CDC; UpToDate",Manual,2025-08-27
Acute Pyelonephritis,en,"1. Ascending E. coli from lower UTI → 2. Vesicoureteral reflux/migration to kidney → 3. Neutrophilic inflammation of renal parenchyma → 4. Tubular damage and edema → 5. Bacteremia in severe cases.","IDSA; Harrison's",Guideline,2025-08-27
Infective Endocarditis,en,"1. Transient bacteremia adheres to damaged endocardium/valves → 2. Platelet-fibrin nidus forms vegetations → 3. Bacterial proliferation within biofilm → 4. Valve destruction, emboli, immune complex phenomena.","AHA/IDSA Guidelines",Guideline,2025-08-27
